Parameters:
K = 928
cycle = 18
D1 = 526102
D2 = 633155
alpha_rep1 = 0.01853472
alpha_rep2 = 0.01361968
log_likelihood_rep1 = 379.655303
log_likelihood_rep2 = 1017.662700
convergence_rep1 = 0
convergence_rep2 = 0

Species	N_rep1	r_rep1	N_rep2	r_rep2
184	21288.647447	0.00025619	25112.334261	0.00030218
185	1710.694883	0.00002059	1105.574462	0.00001330
186	75270.574906	0.00090581	80233.118271	0.00096545
187	16536.717213	0.00019900	10266.048596	0.00012353
188	11784.786979	0.00014182	14056.589617	0.00016914
189	950.386046	0.00001144	1105.574463	0.00001330
190	35354.360940	0.00042546	35536.322068	0.00042761
191	2090.849301	0.00002516	473.817625	0.00000570
192	1330.540466	0.00001601	1737.331300	0.00002091
193	1330.540464	0.00001601	789.696044	0.00000950
194	11404.632560	0.00013724	22585.306914	0.00027177
195	1900.772092	0.00002287	1105.574462	0.00001330
196	11214.555351	0.00013496	6633.446784	0.00007982
197	6462.625117	0.00007777	4106.419437	0.00004941
198	35734.515359	0.00043003	35694.261277	0.00042951
199	16156.562795	0.00019443	10423.987805	0.00012543
200	11024.478141	0.00013267	30798.145792	0.00037060
201	12545.095817	0.00015097	24480.577424	0.00029458
202	25280.268844	0.00030422	11371.623060	0.00013684
203	950.386048	0.00001144	1421.452881	0.00001710
204	26230.654890	0.00031566	45170.613829	0.00054354
205	19768.029772	0.00023789	27955.240026	0.00033639
206	15966.485585	0.00019214	3948.480228	0.00004751
207	2471.003721	0.00002974	1895.270508	0.00002281
208	1140.463256	0.00001372	1421.452881	0.00001710
209	24329.882797	0.00029279	27323.483189	0.00032878
210	18247.412097	0.00021959	10108.109387	0.00012163
211	3421.389767	0.00004117	947.635254	0.00001140
212	19387.875354	0.00023331	17531.252219	0.00021095
213	15966.485585	0.00019214	2053.209718	0.00002471
214	570.231626	0.00000686	315.878418	0.00000380
215	5892.393489	0.00007091	4106.419437	0.00004941
216	1520.617673	0.00001830	1263.513671	0.00001520
217	14826.022329	0.00017842	33798.990766	0.00040670
218	16156.562794	0.00019443	8686.656504	0.00010453
219	18437.489307	0.00022188	16109.799336	0.00019385
220	9503.860467	0.00011437	1105.574463	0.00001330
221	42387.217686	0.00051009	30798.145792	0.00037060
222	2471.003721	0.00002974	1421.452880	0.00001710
223	13685.559073	0.00016469	14846.285662	0.00017865
224	38205.519080	0.00045977	57489.872146	0.00069178
225	20528.338610	0.00024704	27481.422398	0.00033069
226	7413.011164	0.00008921	10108.109387	0.00012163
227	11404.632560	0.00013724	2527.027345	0.00003041
228	1330.540464	0.00001601	1263.513671	0.00001520
229	16916.871632	0.00020358	10897.805433	0.00013113
230	3991.621395	0.00004804	1263.513672	0.00001520
231	18627.566516	0.00022416	23848.820587	0.00028697
232	4181.698605	0.00005032	4422.297856	0.00005321
233	2661.080929	0.00003202	631.756837	0.00000760
234	5702.316279	0.00006862	2684.966554	0.00003231
235	5512.239070	0.00006633	2369.088136	0.00002851
236	4371.775815	0.00005261	4580.237064	0.00005511
237	23949.728378	0.00028821	21953.550077	0.00026417
238	7793.165582	0.00009378	12319.258315	0.00014824
239	3421.389767	0.00004117	6159.629157	0.00007412
240	7603.088373	0.00009150	3790.541019	0.00004561
241	27751.272565	0.00033396	17215.373800	0.00020715
242	8933.628839	0.00010751	7896.960458	0.00009502
243	2090.849302	0.00002516	631.756836	0.00000760
244	1900.772092	0.00002287	1263.513671	0.00001520
245	17106.948841	0.00020587	8212.838877	0.00009883
